Unsafe,Caution,Not enough data,Safe
ICODEXTRIN,,,
IDARUBICINE,,,
IDROCILAMIDE,,,
IFOSFAMIDE,,,
IMATINIB,,,
IMIGLUCERASE,,,
IMMUNO SERUM EQUIN ANTIRABIQUE,,,
IMMUNOGLOBULINE DU LAPIN ANTI-THYMOCYTES HUMAINS,,,
IMMUNOGLOBULINE EQUINE ANTI-THYMOCYTES HUMAINS,,,
IMMUNOGLOBULINE HUMAINE ANTI D,,,
IMMUNOGLOBULINE HUMAINE ANTI HBS,,,
IMMUNOGLOBULINE HUMAINE ANTITETANIQUE,,,
IMMUNOGLOBULINE HUMAINE NORMALE,,,
IMMUNOGLOBULINE HUMAINE POLYVALENTE,,,
IMMUNOSERUM ANTISCORPIONIQUE,,,
IMMUNOSERUM ANTIVIPERIN,,,
INOSINE,,,
INSAPONIFIABLE HUILE D'AVOCAT ET DE SOJA,,,
INSULINE HUMAINE,,,
INTERFERON BETA-1A,,,
"IOXITALAMATE DE NA, MEGLUMINE",,,
IPRATROPIUM BROMURE,,,
ISAVUCONAZOLE,,,
ISOSORBIDE DINITRATE,,,
IVABRADINE,,,
KAOLIN,,,
KETAMINE,,,
L CYSTINE,,,
LACTOBACILLUS ACIDOPHILUS,,,
LACTOBACILLUS CASEI,,,
LACTOBACILLUS LB,,,
LAMIVUDINE,,,
LANREOTIDE,,,
LARONIDASE,,,
LATANOPROSTENE BUNOD,,,
LEDIPASVIR,,,
LENALIDOMIDE,,,
LETROZOLE,,,
LEVODOPA,,,
LEVOFOLINATE DE CALCIUM,,,
LEVOMENTHOL,,,
LEVOTHYROXINE,,,
LEVOTHYROXINE SODIQUE,,,
LEVURES,,,
LH,,,
LINAGLIPTINE,,,
LINCOMYCINE,,,
LINDANE,,,
LINÉZOLIDE,,,
LIRAGLUTIDE,,,
LODOXAMIDE TROMETHAMINE,,,
LORLATINIB,,,
LOTEPREDNOL,,,
LOVASTATINE,,,
LUTROPINE ALFA,,,
MANGANESE,,,
MEMANTINE,,,
MENTHOL,,,
MENTHOL PUR,,,
MEPHENESINE,,,
MEPROBAMATE,,,
MEQUINOL,,,
MERCUROBUTOL,,,
MEROPENEME,,,
MESILATE DE LENVATINIB,,,
MESNA,,,
METACYCLINE,,,
METFORMINE CHLORHYDRATE,,,
METHOCARBAMOL,,,
METHOXSALENE,,,
METHYCLOTHIAZIDE,,,
METHYLERGOMETRINE,,,
METHYLTHIONINIUM,,,
MIDAZOLAM,,,
MITOXANTRONE,,,
MOLSIDOMINE,,,
MONOSULFURE DE SODIUM,,,
MONTMORILLONITE BEIDELLITIQUE,,,
MYCOPHENOLATE MOFETIL,,,
MYRTECAINE,,,
NAFTIDROFURYL,,,
NAPHAZOLINE NITRATE,,,
N-BUTYLHYOSCINE BROMURE,,,
NEOSTIGMINE,,,
NETILMICINE SULFATE,,,
NETUPITANT,,,
NIAPRAZINE,,,
NICOTINE,,,
NIFUROXAZIDE,,,
NILOTINIB,,,
NINTEDANIB,,,
NITISINONE,,,
NORADRENALINE,,,
NORETHISTERONE,,,
OBINUTUZUMAB,,,
OCTOGOG ALFA,,,
OCTREOTIDE,,,
OLMESARTAN MEDOXOMIL,,,
OLODATEROL,,,
OMBITASVIR,,,
ONDANSETRON,,,
OPIUM,,,
ORNITHINE MONOHYDRAT,,,
OXALIPLATINE,,,
OXYBUPROCAINE,,,
PACLITAXEL,,,
PALBOCICLIB,,,
PALONOSETRON,,,
PANCREATINE,,,
PARAFFINE LIQUIDE,,,
PARECOXIB,,,
PARITAPREVIR,,,
PAZOPANIB,,,
PEGINTERFERON BETA-1A,,,
PEMBROLIZUMAB,,,
PEMETREXED,,,
PENICILLAMINE,,,
PENTOXYFYLLINE,,,
PERINDOPRIL ARGININE,,,
PERTUZUMAB,,,
PETHIDINE,,,
PHENAZONE,,,
PHENIRAMINE,,,
PHENOL,,,
PHENYLEPHRINE,,,
PHOLCODINE,,,
PHOSPHATE DISODIQUE,,,
PHOSPHATE MONOSODIQUE,,,
PHOSPHOLIPIDES TOTAUX,,,
PHOSPHORE,,,
PHYTOMENADIONE,,,
PICLOXYDINE,,,
PIMETHIXENE,,,
PINAVERIUM,,,
PIOGLITAZONE,,,
PIRIBEDIL,,,
PLERIXAFOR,,,
POLYMALTOSE COMPLEXE,,,
POLYMIXINE B,,,
POLYVIDONE,,,
POLYVIDONE IODEE,,,
POTASSIUM,,,
POTASSIUM CHLORURE,,,
POVIDONE,,,
POVIDONE IODEE,,,
PRAMIPEXOLE,,,
PRASUGREL,,,
PRIFINIUM,,,
PRILOCAINE,,,
PROPIONATE DE FLUCTICASONE,,,
PROPOFOL,,,
PSEUDOEPHEDRINE,,,
RALOXIFENE,,,
RANELATE DE STRONTIUM,,,
RANOLAZINE,,,
RAXTOZINAMERAN,,,
REMIFENTANIL,,,
REPAGLINIDE,,,
RESORCINE,,,
RESORCINOL,,,
RIBAVIRINE,,,
RIBOCICLIB,,,
RIFAXIMINE,,,
RILUZOLE,,,
RINGER,,,
RISANKIZUMAB,,,
RITONAVIR,,,
RIVASTIGMINE,,,
ROCURONIUM BROMURE,,,
ROPINIROLE,,,
ROPIVACAINE,,,
ROPIVACAINE CHLORHYDRATE,,,
RUSCOGENINES,,,
RUTOSIDE,,,
RUXOLITINIB,,,
SACUBITRIL,,,
SALICYLATE DE CHOLINE,,,
SALICYLATE DE DIETHYLAMINE,,,
SALICYLATE DE METHYLE,,,
SATRALIZUMAB,,,
SELEXIPAG,,,
SEMAGLUTIDE,,,
SEVOFLURANE,,,
SILDENAFIL,,,
SIROLIMUS,,,
SITAGLIPTINE,,,
SODIUM BENZOATE,,,
SODIUM BROMURE,,,
SOFOSBUVIR,,,
SOLIFENACINE SUCCINATE,,,
SOMATROPINE,,,
SORAFENIB,,,
SOUFRE SUBLIME,,,
SUCRALFATE,,,
SUFENTANIL,,,
SUGAMMADEX,,,
SULFADIAZINE ARGENTIQUE,,,
SULFAGUANIDINE,,,
SULFATE DE PROTAMINE,,,
SULODEXIDE,,,
SUNITINIB,,,
SUXAMETHONIUM,,,
SYNEPHRINE,,,
TACILIZUMAB,,,
TADALAFIL,,,
TÉMOZOLOMIDE,,,
TENECTEPLASE,,,
TENONITROZOLE,,,
TERLIPRESSINE,,,
TETRACAINE,,,
TETRAHYDROZOLINE,,,
TETRAZEPAM,,,
THIAMPHENICOL,,,
THIMEROSAL,,,
THIOCOLOR,,,
THIOPHENECARBOXYLATE,,,
THYMOL,,,
TICAGRELOR,,,
TIGECYCLINE,,,
TILBROQUINOL,,,
TILIQUINOL,,,
TINZAPARINE,,,
TOFACITINIB,,,
TOLNAFTATE,,,
TRASTUZUMAB,,,
TRETINOINE,,,
TRICHLOCARBAN,,,
TRICLOSAN,,,
TRINITRINE,,,
TRIPROLIDINE,,,
TROLAMINE,,,
TROPICAMIDE,,,
TUAMINOHEPTANE SULFATE,,,
