CODE_PCT,NOM_COMMERCIAL,NAME_MAIN,FORM,STRENGTH,PACKAGE,PRIX_PUBLIC,TARIF_REFERENCE,CATEGORIE,DCI,AP
302551,MEDIPREX 10 MG COMP PELL SEC BT/30,MEDIPREX,Comprimé Pelliculé Sécable,10 MG,BT/30,26.065,25.38,E,ESCITALOPRAM,N
301475,MEDISIUM Sol Inj 75 ml/3 ml  Bt 5,MEDISIUM,Solution Injectable,75 ml/3 ml,Bt 5,5.195,3.24,E,DICLOFENAC,N
101722,MEDROL Comp sec 4mg Bt 30,MEDROL,Comprimé Sécable,4mg,Bt 30,3.627,3.6,E,METHYLPREDNISOLONE,N
106967,MEDROL Comp Seca 16mg Bt 20,MEDROL,Comprimé Sécable,16mg,Bt 20,7.022,7.02,E,METHYLPREDNISOLONE,N
302990,MEDZAR 50mg com pell séc Bt 90,MEDZAR,,50mg,Bt 90,59.785,59.76,E,LOSARTAN,N
300920,MEDZAR Comp Pell Sec 50mg Bt 28,MEDZAR,Comprimé Pelliculé Sécable,50mg,Bt 28,24.715,18.592,E,LOSARTAN,N
302991,MEDZAR FORT 100mg comp pell séc Bt 90,MEDZAR FORT,Comprimé Pelliculé Sécable,100mg,Bt 90,69.22,69.21,E,LOSARTAN,N
301430,MEDZAR FORT Comp Pell Sec  100 mg Bt 28,MEDZAR FORT,Comprimé Pelliculé Sécable,100 mg,Bt 28,26.335,21.532,E,LOSARTAN,N
302284,MEFALGIC Gel 250 MG BT 20,MEFALGIC,Gélule,250 MG,BT 20,2.705,2.5,E,ACIDE MEFENAMIQUE,N
301145,MEFENAL Gelule 250mg Bt 20,MEFENAL,Gélule,250mg,Bt 20,3.315,2.5,E,ACIDE MEFENAMIQUE,N
301146,MEFENAL Sus Buv 1% Fl 150ml,MEFENAL Sus Buv 1% Fl,,150ml,Fl 150ml,6.255,4.8,E,ACIDE MEFENAMIQUE,N
302386,MEFOR Comp Pell  850 MG BT 60,MEFOR,Comprimé Pelliculé,850 MG,BT 60,6.66,5.22,E,METFORMINE,N
302385,MEFOR Comp Pell 1 GR BT 60,MEFOR,Comprimé Pelliculé,,BT 60,7.805,6.06,E,METFORMINE,N
