NAME_MAIN,STRENGTH,FORM,PACKAGE,DCI,LABO,PAYS,CODE_PCT,DATE AMM,G/P
ACTIVEX ADULTE,,Granulés pour solution buvable,B/8 sachets,PARACETAMOL+PHENIRAMINE+VITAMINE C,TERIAK,Tunisie,9253871,2016-05-17,Générique
ACTRAPID,100 UI/ML,Solution injectable,FL/10 ML,INSULINE HUMAINE,NOVO NORDISK A/S Bagsvaerd,Denemark,5993016,2001-11-28,Princeps
ACTRAPID PENFILL,100 UI/ML,Suspension injectable,FL/5/3 ML,INSULINE HUMAINE,NOVO NORDISK A/S Bagsvaerd,Denemark,5993024,2001-12-10,Princeps
ADENAFIL,50 MG,Comprimé pelliculé sécable,B/2,SILDENAFIL,IBN AL BAYTAR,Tunisie,9073652,2017-02-07,Générique
ADENAFIL,50 mg,Comprimé pelliculé sécable,B/1,SILDENAFIL,IBN AL BAYTAR,Tunisie,9073651,2017-02-16,Générique
ADENAFIL,50 MG,Comprimé pelliculé sécable,B/4,SILDENAFIL,IBN AL BAYTAR,Tunisie,9073653,2017-02-07,Générique
ADOFEN MENTHOL,5% / 3%,Gel dermique,T/ 50g,IBUPROFENE + LEVOMENTHOL,PHARMADERM,Tunisie,9053321,2018-02-22,Générique
ADOLINE EXTRA,500 mg/65 mg,Comprimé pelliculé,B/20,PARACETAMOL+CAFEINE,ALLIANCE PHARMA,Tunisie,9303151,2015-06-01,Générique
ADOLINJECT,10 mg/ml,Solution injectable pour perfusion,B/1FL/ 100ML,PARACETAMOL,STERIPHARM,Tunisie,9443261,2025-10-03,Générique
ADOLINJECT,10 mg/ml,Solution injectable pour perfusion,B/6FL de 100ML,PARACETAMOL,STERIPHARM,Tunisie,9443262,2025-10-03,Générique
ADRENALINE 0.1%,1 MG/ML,Solution injectable,B/100/1ML,EPINEPHRINE,RENAUDIN,FRANCE,7713041H,2002-06-12,Générique
ADRENALINE AGUETTANT SANS SULFITES,1 mg/ml,Solution injectable,B/10/5ml,EPINEPHRINE,LABORATOIRE AGUETTANT,FRANCE,7093023H,2013-09-12,Générique
ADRENALINE MEDIS sans conservateur,5 mg/5ml,Solution injectable,B/10/5ml,EPINEPHRINE,LES LABORATOIRES MEDIS,Tunisie,9233902H,2017-06-28,Générique
ADRENALINE MEDIS sans conservateur,1 mg/1ml,Solution injectable,B/10/1ml,EPINEPHRINE,LES LABORATOIRES MEDIS,Tunisie,9233901H,2017-06-28,Générique
ADRENALINE RENAUDIN 0.1%,1 MG/ML,Solution injectable,B/10/1ML,EPINEPHRINE,RENAUDIN,FRANCE,7713042H,2019-06-10,Générique
ADRENALINE SOPHARMA,1 mg/ml,Solution injectable,B/10/1ml,EPINEPHRINE,SOPHARMA SA,BULGARIE,10793012H,2009-08-24,Générique
ADRENOL 1 (SANS SULFITES),1 mg/ml,Solution injectable,B/100/1ml,EPINEPHRINE,DORCAS,Tunisie,9313141H,2012-12-26,Générique
ADRENOL 1(Avec sulfite),1 mg/ml,Solution injectable,B/100 Ampoules/1ML,EPINEPHRINE,DORCAS,Tunisie,9313142H,2017-04-21,Générique
ADRIBLASTINE,50 mg/25 ml,Solution injectable pour perfusion,B/1 flacon/25ml,DOXORUBICINE,PFIZER HOLDING FRANCE,FRANCE,10803202H,2010-07-23,Générique
ADRIBLASTINE,10 mg/5 ml,Solution injectable pour perfusion,B/1 flacon/5ml,DOXORUBICINE,PFIZER HOLDING FRANCE,FRANCE,10803201H,2010-07-23,Princeps
ADVAGRAF LP,0.5 mg,Gélule à libération prolongée,B/100,TACROLIMUS,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653661H,2017-01-23,Princeps
ADVAGRAF LP,1 mg,Gélule à libération prolongée,B/100,TACROLIMUS,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653662H,2017-01-23,Princeps
ADVAGRAF LP,5 mg,Gélule à libération prolongée,B/100,TACROLIMUS,HIKMA Pharmaceuticals Co Ltd,JORDANIE,6653663H,2017-01-23,Princeps
ADYFLU,30 mg,Gélule,B/10,OSELTAMIVIR,ADWYA,Tunisie,9043992,2010-01-13,Générique
ADYFLU,45 mg,Gélule,B/10,OSELTAMIVIR,ADWYA,Tunisie,9043993,2010-01-13,Générique
ADYFLU,75 mg,Gélule,B/10,OSELTAMIVIR,ADWYA,Tunisie,9043991,2009-10-06,Générique
ADYS,100 mg,Comprimé pelliculé,B/10,FLURBIPROFENE,SIPHAT,Tunisie,9003971,2017-05-03,Générique
AEROL,100 µG,Aérosol,FL/200 DOSES,SALBUTAMOL,BERG LIFE SCIENCES,Tunisie,9283011,2006-10-16,Générique
AERRANE,,Solution pour inhalation,FL/100ML,ISOFLURANE,BAXTER SA Belgique,BELGIQUE,10153011H,2006-11-01,Princeps
AFINITOR,10 mg,Comprimé,B/30,EVEROLIMUS,NOVARTIS PHARMA SCHWEIZ AG,SUISSE,10283342H,2016-04-25,Princeps
AFSTYLA,250 UI,Poudre et solvant pour solution injectable,B/1FL +Solvant /2.5ml +Set de transfert,FACTEUR VIII,CSL BEHRING GmbH,Allemagne,8143121H,2025-06-02,Princeps
AFSTYLA,1000 UI,Poudre et solvant pour solution injectable,B/1FL+ solvant /2.5 ml + Set de transfert,FACTEUR VIII,CSL BEHRING GmbH,Allemagne,8143123H,2025-06-02,Princeps
AFSTYLA,500 UI,Poudre et solvant pour solution injectable,B/1FL +Solvant /2.5ml +Set de transfert,FACTEUR VIII,CSL BEHRING GmbH,Allemagne,8143122H,2025-06-02,Princeps
AFTAGEL,,Gel buccal,Tube/15 ml,LIDOCAINE+SULFATE DE ZINC,COOPERATION PHARMACEUTIQUE FRANCAISE,FRANCE,7623081,2015-07-06,Princeps
AFUSIDIC PLUS,2%,Creme dermique,TUBE/15 gr,ACIDE FUSIDIQUE+BETAMETHASONE,OPALIA PHARMA,Tunisie,9023791,2007-05-09,Générique
AGREGEX,75 mg,Comprimé pelliculé,B/30,CLOPIDOGREL,ACTAVIS Group PTC ehf,Islande,10243101,2013-04-16,Générique
AGRIPPAL S1,,Suspension injectable,B/1 Ser/0.5ML,VACCIN ANTIGRIPPE,NOVARTIS INFLUENZA VACCINES S.R.L,ITALIE,13263012,2010-07-23,Princeps
AGYRAX,25 MG,Comprimé sécable,B/15,MECLOZINE,VEDIM,FRANCE,6510021,1995-03-15,Princeps
AIMAFIX,500 UI/ 10 ml,Pdre p.prep.injectable,1flacon de poudre +solv /10ml +kit,FACTEUR IX,KEDRION S.p.A,ITALIE,13043041H,2013-08-20,Princeps
AIRGIX,10 mg,Comprimé pelliculé,B/10,CETIRIZINE,SAIPH,Tunisie,9163694,2020-02-03,Générique
AIRGIX,10 mg,Comprimé pelliculé,B/30,CETIRIZINE,SAIPH,Tunisie,9163695,2020-02-03,Générique
AIRGIX,10 mg,Comprimé pelliculé,B/20,CETIRIZINE,SAIPH,Tunisie,9163691,2008-01-26,Générique
AIRGIX,5 mg/5 ml,Sirop,FL/100 ml,CETIRIZINE,SAIPH,Tunisie,ST9163693,2008-01-23,Générique
AKYNZEO,300mg/ 0.5mg,Gélule,B/1,NETUPITANT+PALONOSETRON,HELSINN BIREX Pharmaceuticals Ltd,Irelande,4843011,2020-08-25,Princeps
ALBIOMIN,20%,Solution injectable,FL/50 ML,ALBUMINE HUMAINE PLASMATIQUE,BIOTEST PHARMA GmbH,Allemagne,8153091H,2015-04-28,Princeps
ALBUMIN-GCC,20%,Solution injectable,FL/50ML,ALBUMINE HUMAINE PLASMATIQUE,GREEN CROSS CORPORATION,Corée du Sud,3883021,2003-08-07,Générique
ALBUMINATIV,20%,Solution injectable pour perfusion,FL/50 ML,ALBUMINE HUMAINE PLASMATIQUE,OCTAPHARMA AB,SUEDE,2103011,2002-10-15,Princeps
